Sample	Days	Cell_type	Experiment
P11951_1281	D8A2M_47	D8	TE	Exp3
P11951_1282	D8A2M_46	D8	TE	Exp3
P11951_1283	D8A2M_45	D8	TE	Exp3
P11951_1284	D8A2M_44	D8	TE	Exp3
P11951_1285	D8A2M_43	D8	TE	Exp3
P11951_1286	D8A2M_42	D8	TE	Exp3
P11951_1287	D8A2M_41	D8	TE	Exp3
P11951_1288	D8A2M_40	D8	TE	Exp3
P11951_1289	D4B2_1	D4	D4	Exp3
P11951_1290	D4H3_10	D4	D4	Exp3
P11951_1291	D4H3_9	D4	D4	Exp3
P11951_1292	D4H1_2	D4	D4	Exp3
P11951_1293	D4H1_1	D4	D4	Exp3
P11951_1294	D4A3_3	D4	D4	Exp3
P11951_1295	D4A3_2	D4	D4	Exp3
P11951_1297	D4H6_2	D4	D4	Exp3
P11951_1298	D4H6_1	D4	D4	Exp3
P11951_1299	D4B4_9	D4	D4	Exp3
P11951_1300	D4H2_21	D4	D4	Exp3
P11951_1301	D4H2_20	D4	D4	Exp3
P11951_1302	D4H2_19	D4	D4	Exp3
P11951_1303	D4H2_18	D4	D4	Exp3
P11951_1304	D4H2_17	D4	D4	Exp3
P11951_1305	D5E3_9	D5	D5	Exp3
P11951_1306	D4A1_11	D4	D4	Exp3
P11951_1307	D4A1_10	D4	D4	Exp3
P11951_1308	D4A1_9	D4	D4	Exp3
P11951_1309	D4H8_20	D4	D4	Exp3
P11951_1310	D4H8_19	D4	D4	Exp3
P11951_1311	D4H8_18	D4	D4	Exp3
P11951_1312	D4H8_17	D4	D4	Exp3
P11951_1313	D4B1_12	D4	D4	Exp3
P11951_1314	D4B1_11	D4	D4	Exp3
P11951_1315	D4B1_10	D4	D4	Exp3
P11951_1316	D4B1_9	D4	D4	Exp3
P11951_1317	D4B3_4	D4	D4	Exp3
P11951_1318	D4B3_3	D4	D4	Exp3
P11951_1319	D4B3_2	D4	D4	Exp3
P11951_1320	D4B3_1	D4	D4	Exp3
P11951_1321	D5E1_17	D5	D5	Exp3
P11951_1322	D5C2_11	D5	D5	Exp3
P11951_1323	D5C2_10	D5	D5	Exp3
P11951_1324	D5C2_9	D5	D5	Exp3
P11951_1325	D5C4_12	D5	D5	Exp3
P11951_1326	D5C4_11	D5	D5	Exp3
P11951_1327	D5C4_10	D5	D5	Exp3
P11951_1328	D5C4_9	D5	D5	Exp3
P11951_1329	D7X	D7	UN	Exp3
P11951_1330	D7X	D7	UN	Exp3
P11951_1331	D5C3_2	D5	D5	Exp3
P11951_1332	D5C3_1	D5	D5	Exp3
